,Ticker,Co_name
0,BHARTIARTL.NS,Bharti Airtel Limited
1,ASHOKLEY.NS,Ashok Leyland Limited
2,AUROPHARMA.NS,Aurobindo Pharma Limited
3,AREXMIS.BO,Arex Industries Ltd.
4,SANWARIA.NS,Sanwaria Agro Oils Limited
5,ALMONDZ.NS,Almondz Global Securities Limited
6,ADINATH.BO,Adinath Textiles Ltd
7,SBIN.NS,State Bank of India
8,BPCL.NS,Bharat Petroleum Corporation Limited
9,MBECL.NS,McNally Bharat Engineering Company Limited
10,MAHABANK.NS,Bank of Maharashtra
11,DBCORP.BO,D. B. Corp Limited
12,BOSCHLTD.NS,Bosch Limited
13,BHEL.BO,Bharat Heavy Electricals Ltd.
14,IDBI.NS,IDBI Bank Limited
15,IRB.BO,IRB Infrastructure Developers Limited
16,DABUR.NS,Dabur India Limited
17,TCIDEVELOP.NS,TCI Developers Limited
18,NDTV.BO,New Delhi Television Limited
19,ISHITADR.BO,Ishita Drugs & Industries Ltd
20,GDL.BO,Gateway Distriparks Limited
21,DRREDDY.NS,Dr. Reddy's Laboratories Limited
22,DPSCLTD.NS,India Power Corporation Limited
23,DLF.BO,DLF Limited
24,DEEPAKSP.BO,Deepak Spinners Limited
25,DANLAW.BO,Danlaw Technologies India Limited
26,VIPULDYE.BO,Vipul Dye Chem Ltd.
27,VADIDAI.BO,Vadilal Dairy International Ltd.
28,TRIMURTHI.BO,Trimurthi Limited
29,THAKDEV.BO,Thakkers Developers Ltd
30,TATAMTRDVR.BO,TATA MOTORS LTD - DVR
31,SUPDF.BO,SUPERSTAR DISTILLERIES & FOODS
32,SHRIDINE.BO,Shri Dinesh Mills Limited
33,RADHEDE.BO,Radhe Developers (India) Ltd.
34,PROTODEV.BO,Proto Developers & Technologies Limited
35,PRABHAT.NS,Prabhat Dairy Limited
36,NDMETAL.BO,ND Metal Industries Ltd
37,MDRNSUT-B.BO,MODERN DENIM LTD.
38,MANGALAM.BO,Mangalam Drugs & Organics Limited
39,MAHLIFE.NS,Mahindra Lifespace Developers Limited
40,LPDC.NS,Landmark Property Development Company Limited
41,KAUSHALYA.NS,Kaushalya Infrastructure Development Corporation Limited
42,IRB.NS,IRB Infrastructure Developers Limited
43,INTERDIGI.BO,Interworld Digital Ltd.
44,INDTONER.BO,Indian Toners & Developers Ltd.
45,INDLEASE.BO,India Lease Development Limited
46,HDIL.NS,Housing Development and Infrastructure Limited
47,HDIL.BO,Housing Development & Infrastructure Limited
48,HDFC.NS,Housing Development Finance Corporation Limited
49,HDFC.BO,Housing Development Finance Corporation Limited
50,GOLKUNDIA.BO,Golkunda Diamonds & Jewellery Limited
51,GOENKA.NS,Goenka Diamond and Jewels Limited
52,ESSDEE.BO,Ess Dee Aluminium Limited
53,ENERGYDEV.NS,Energy Development Company Limited
54,EIDPARRY.BO,E.I.D.- Parry (India) Limited
55,KELENRG.BO,Keltech Energies Limited
56,SCHNEIDER.NS,Schneider Electric Infrastructure Limited
57,EASTSILK.BO,Eastern Silk Industries Ltd.
58,TATAELXSI.NS,Tata Elxsi Limited
59,SWARAJENG.NS,Swaraj Engines Limited
60,STEERINTER.BO,Sterling International Enterprises Ltd.
61,SEQUELE.BO,Sequel e-Routers Ltd.
62,RECLTD.NS,Rural Electrification Corporation Limited
63,PEL.NS,Piramal Enterprises Limited
64,MKEXIM.BO,M.K. Exim (India) Limited
65,JAYTEX.BO,Jaybharat Textiles And Real Estate Limited
66,IBREALEST.BO,Indiabulls Real Estate Limited
67,EVERONN.NS,Everonn Education Limited
68,ESSELPACK.NS,Essel Propack Limited
69,ENTEGRA.NS,Entegra Limited
70,EMMESSA.BO,Emmessar Biotech & Nutrition Limited
71,ECOM.BO,E.com Infotech India Ltd.
72,BEL.BO,Bharat Electronics Limited
73,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
74,ZICOM.BO,Zicom Electronic Security Systems Limited
75,ZANUKCOM.BO,Anukaran Commercial Enterprises Ltd.
76,OFSS.NS,Oracle Financial Services Software Limited
77,LICHSGFIN.NS,LIC Housing Finance Limited
78,FORTUNEF.BO,Fortune Financial Services (India) Limited
79,SUNDRMFAST.BO,Sundram Fasteners Limited
80,SUNDARMFIN.BO,Sundaram Finance Limited
81,SITASHREE.NS,Sita Shree Food Products Limited
82,RELAXO.BO,Relaxo Footwears Limited
83,RCF.BO,Rashtriya Chemicals And Fertilizers Limited
84,PFS.NS,PTC India Financial Services Limited
85,PFC.NS,Power Finance Corporation Limited
86,NIKKIGL.BO,Nikki Global Finance Limited
87,MUTHOOTFIN.NS,Muthoot Finance Limited
88,MAX.NS,Max Financial Services Limited
89,MAGMA.NS,Magma Fincorp Limited
90,KZLFIN.BO,KZ Leasing & Finance Ltd.
91,IFSL.BO,Integrated Financial Services Limited
92,HNDFDS.BO,Hindustan Foods Limited
93,HILTON.BO,Hilton Metal Forging Limitied
94,GOWRALE.BO,Gowra Leasing & Finance Ltd.
95,GEEFC.BO,Geefcee Finance Limited
96,FORCEMOT.BO,Force Motors Ltd.
97,FOODSIN.BO,Foods & Inns Ltd.
98,FILME.BO,Filmcity Media Ltd.
99,FFPL.BO,Foundry Fuel Products Ltd.
100,FACT.NS,The Fertilisers And Chemicals Travancore Limited
101,ARORAFIB.BO,Arora Fibres
102,AJWAFUN.BO,Ajwa Fun World & Resort Ltd
103,ADMANUM.BO,Ad-Manum Finance Ltd
